Total Energy Use (Case Reference case)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=1-AEO2020&region=0-0&cases=ref2020&start=2018&end=2050&f=A&linechart=ref2020-d112119a.30-1-AEO2020~ref2020-d112119a.31-1-AEO2020~ref2020-d112119a.32-1-AEO2020~ref2020-d112119a.33-1-AEO2020~ref2020-d112119a.34-1-AEO2020~ref2020-d112119a.35-1-AEO2020~ref2020-d112119a.36-1-AEO2020~ref2020-d112119a.37-1-AEO2020~ref2020-d112119a.38-1-AEO2020&map=&sourcekey=1
11:02:01 GMT-0500 (CDT)
Source: U.S. Energy Information Administration
Year,Liquid Fuels quads,Natural Gas quads,Coal quads,Nuclear quads,Hydropower quads,Biomass quads,Other Renewable Energy quads,Other quads,Total quads
2050,38.663658,37.810448,7.936447,6.716295,2.262525,3.59317,12.642707,0.299321,109.924576
2049,38.41666,37.552456,7.91083,6.711448,2.273778,3.570926,12.415702,0.300562,109.152359
2048,38.181633,37.169861,7.944196,6.708094,2.27995,3.546339,12.214866,0.301768,108.34671
2047,37.954109,36.785,7.953084,6.705318,2.281751,3.524088,12.039868,0.304216,107.547432
2046,37.730907,36.443565,7.962496,6.700862,2.273704,3.496759,11.799397,0.306194,106.713875
2045,37.533596,36.243198,7.896763,6.696404,2.272747,3.476807,11.526014,0.310404,105.955933
2044,37.317387,36.082645,7.933951,6.687841,2.281344,3.456382,11.121703,0.311192,105.192451
2043,37.145874,35.940025,7.935738,6.679939,2.284775,3.438693,10.760035,0.312468,104.497543
2042,36.99564,35.729935,7.965323,6.762374,2.284055,3.419021,10.417507,0.313708,103.887558
2041,36.86544,35.527851,7.995692,6.752901,2.298737,3.405491,10.118544,0.31495,103.279602
2040,36.747784,35.316647,8.031965,6.739802,2.30683,3.389724,9.871405,0.313166,102.717323
2039,36.704563,34.983902,8.057528,6.828832,2.316797,3.376801,9.665843,0.313725,102.247986
2038,36.659451,34.760571,8.111191,6.828832,2.326471,3.370085,9.491894,0.312619,101.861122
2037,36.633987,34.522491,8.203781,6.826629,2.334253,3.361934,9.308583,0.31378,101.50544
2036,36.619984,34.238548,8.216821,6.82442,2.341803,3.357383,9.156096,0.314813,101.06987
2035,36.670483,34.050732,8.278006,6.813493,2.347385,3.348562,8.961061,0.319437,100.789154
2034,36.683517,33.883789,8.376008,6.798795,2.356455,3.338353,8.711535,0.321226,100.469681
2033,36.651112,33.413578,8.449744,6.972309,2.359036,3.327163,8.670287,0.312328,100.155556
2032,36.740559,33.152905,8.385563,7.134424,2.363693,3.31843,8.625295,0.312225,100.033089
2031,36.79459,32.879433,8.403361,7.126846,2.372903,3.311273,8.59905,0.3044,99.791855
2030,36.842789,32.68071,8.459363,7.115708,2.371095,3.298345,8.472414,0.312399,99.552826
2029,36.854237,32.929447,8.481165,7.108607,2.377184,3.275252,8.060765,0.303551,99.390205
2028,36.959,32.90086,8.518984,7.104901,2.383727,3.257947,7.776433,0.30642,99.208282
2027,37.025654,32.902473,8.541109,7.101179,2.392694,3.232934,7.580525,0.299847,99.076424
2026,37.254978,33.072159,8.559067,7.098251,2.399374,3.215469,7.376397,0.286904,99.262596
2025,37.401596,33.063847,8.145056,7.822189,2.458508,3.186579,7.215426,0.282206,99.575401
2024,37.636486,32.969063,8.628566,8.063392,2.473457,3.167369,6.778963,0.293724,100.011009
2023,37.910881,32.985462,8.750343,8.031043,2.51507,3.15063,6.4833,0.286105,100.112831
2022,38.067791,32.998856,9.344917,8.00919,2.559922,3.142795,5.879107,0.292265,100.294846
2021,38.194523,33.071632,9.692323,8.161823,2.60916,3.111676,5.064552,0.307481,100.213173
2020,38.281551,32.202682,10.258844,8.296324,2.628049,3.108829,4.492028,0.322602,99.590912
2019,38.035393,32.14539,11.249906,8.444715,2.627223,3.225397,3.986613,0.281268,99.995903
