,TAN,TAN,TAN,TAN,TAN,XLE,XLE,XLE,XLE,XLE
,open,high,low,close,volume,open,high,low,close,volume
2008-08-07 00:00:00-04:00,230.0,232.1,228.5,229.1,6624,73.76,73.97,71.86,71.89,28910888
2008-08-08 00:00:00-04:00,228.9,228.9,225.0,225.6,6446,71.3,71.69,69.72,71.28,33631235
2008-08-11 00:00:00-04:00,219.6,228.4,219.6,222.0,14975,71.69,72.01,69.66,70.98,31392190
2008-08-12 00:00:00-04:00,225.6,231.5,225.6,228.1,14852,71.59,71.84,70.62,70.74,30657524
2008-08-13 00:00:00-04:00,229.3,231.8,224.2,230.3,7030,70.77,73.51,70.77,73.25,42832058
2008-08-14 00:00:00-04:00,230.3,232.4,227.0,232.0,4208,72.99,73.36,71.36,72.35,34739194
2008-08-15 00:00:00-04:00,235.2,242.0,235.2,241.2,21189,71.84,71.87,70.16,70.97,38681393
2008-08-18 00:00:00-04:00,246.0,246.0,235.4,236.6,14218,71.33,72.09,68.35,70.18,31678526
2008-08-19 00:00:00-04:00,239.0,240.6,235.5,240.2,6734,69.92,72.49,69.86,72.24,40252100
2008-08-20 00:00:00-04:00,244.6,255.9,242.9,255.9,33688,73.22,74.75,72.37,74.45,45626910
2008-08-21 00:00:00-04:00,254.1,258.1,251.5,257.3,27058,75.46,76.71,74.91,76.2,32520415
2008-08-22 00:00:00-04:00,260.0,263.1,255.4,262.4,17926,75.7,75.83,73.96,74.8,24458045
2008-08-25 00:00:00-04:00,264.7,264.8,255.1,257.4,14575,74.82,75.35,73.37,73.82,22000227
2008-08-26 00:00:00-04:00,258.7,258.8,250.0,252.0,17766,74.45,75.6,74.12,75.06,25988603
2008-08-27 00:00:00-04:00,253.6,260.0,250.2,258.1,11967,76.08,76.66,75.6,76.14,23648856
2008-08-28 00:00:00-04:00,262.5,262.5,256.5,261.0,10613,76.78,76.91,74.1,75.32,26973599
2008-08-29 00:00:00-04:00,261.7,264.9,259.4,262.8,15374,75.91,75.98,74.4,74.51,20268920
2008-09-02 00:00:00-04:00,259.6,259.6,245.0,246.1,16587,72.16,72.19,70.69,70.75,49354149
2008-09-03 00:00:00-04:00,246.5,246.5,232.5,235.3,27587,70.22,71.56,69.27,70.31,48850815
2008-09-04 00:00:00-04:00,235.3,238.0,225.6,227.6,21199,70.31,71.01,67.86,68.76,52072726
2008-09-05 00:00:00-04:00,224.2,228.1,215.4,227.2,22645,69.1,69.13,66.81,68.64,47065457
2008-09-08 00:00:00-04:00,232.0,233.4,213.8,219.9,22633,70.06,70.29,67.22,67.98,46823237
2008-09-09 00:00:00-04:00,216.1,216.1,192.0,193.7,36852,67.31,67.32,63.34,63.45,62625538
2008-09-10 00:00:00-04:00,190.2,202.0,190.2,200.4,30453,64.13,66.28,63.71,65.62,59303806
2008-09-11 00:00:00-04:00,191.9,202.8,189.3,202.2,29624,65.15,66.84,63.7,66.8,49749421
2008-09-12 00:00:00-04:00,205.9,212.5,198.7,210.9,14013,66.76,68.98,66.75,68.76,52226097
2008-09-15 00:00:00-04:00,192.5,202.6,182.6,191.8,20184,65.69,67.21,63.68,64.05,52121950
2008-09-16 00:00:00-04:00,183.0,199.0,178.9,199.0,31835,61.76,66.17,61.06,66.08,58547623
2008-09-17 00:00:00-04:00,198.0,202.9,185.1,198.0,41350,65.43,67.6,63.76,64.5,64511979
2008-09-18 00:00:00-04:00,189.1,205.9,189.1,204.3,20834,66.98,67.64,63.61,66.09,60429830
2008-09-19 00:00:00-04:00,220.0,221.5,210.0,219.9,19546,71.36,74.06,68.41,71.08,43396501
2008-09-22 00:00:00-04:00,215.7,218.1,210.3,210.3,8268,71.37,72.58,70.06,70.15,31645866
2008-09-23 00:00:00-04:00,201.5,212.6,201.4,202.0,11052,70.0,71.1,67.7,67.88,31209266
2008-09-24 00:00:00-04:00,217.5,220.2,209.6,210.4,25089,68.7,69.03,67.62,68.04,28615995
2008-09-25 00:00:00-04:00,214.5,219.0,211.5,216.9,12089,67.92,69.95,67.9,69.45,26215023
2008-09-26 00:00:00-04:00,207.8,207.8,199.5,202.0,23273,67.59,68.49,66.02,68.1,33371310
2008-09-29 00:00:00-04:00,193.0,193.0,162.1,166.6,41691,65.61,65.99,59.13,61.65,42725940
2008-09-30 00:00:00-04:00,173.2,181.0,170.0,178.8,25865,61.92,64.29,61.43,63.79,31206792
2008-10-01 00:00:00-04:00,187.9,189.2,181.0,187.5,22794,62.79,63.43,60.0,62.37,43781283
2008-10-02 00:00:00-04:00,185.2,185.2,166.3,167.3,29563,61.34,61.42,57.74,57.99,45489964
2008-10-03 00:00:00-04:00,168.7,181.4,158.0,159.0,40474,58.5,69.91,57.49,57.73,47515328
2008-10-06 00:00:00-04:00,150.0,150.5,132.9,145.3,33340,55.76,55.8,50.98,55.54,67456459
2008-10-07 00:00:00-04:00,139.8,141.0,119.0,121.4,33981,56.54,57.28,51.54,51.81,46842459
2008-10-08 00:00:00-04:00,107.5,127.3,107.5,121.4,30840,50.32,54.65,49.16,52.11,67767300
2008-10-09 00:00:00-04:00,124.4,132.5,111.0,114.8,17772,53.26,54.03,46.52,46.79,48491505
2008-10-10 00:00:00-04:00,101.5,118.1,100.1,116.8,24019,42.99,45.74,38.84,42.81,90387271
2008-10-13 00:00:00-04:00,129.9,138.0,124.5,138.0,25016,45.35,50.99,44.42,50.85,47659369
2008-10-14 00:00:00-04:00,149.9,149.9,126.3,132.4,26981,52.73,56.95,48.38,50.75,60859265
2008-10-15 00:00:00-04:00,124.4,124.5,112.3,115.3,14564,48.26,48.84,41.96,42.12,58005015
2008-10-16 00:00:00-04:00,117.6,121.3,107.5,120.9,12019,43.78,46.08,40.26,45.89,75639470
2008-10-17 00:00:00-04:00,117.5,126.3,112.6,121.0,14493,44.53,49.65,43.61,45.93,60058327
2008-10-20 00:00:00-04:00,122.0,127.8,120.1,127.6,10332,47.62,51.2,47.62,51.12,44106315
2008-10-21 00:00:00-04:00,123.6,125.2,119.0,121.1,12169,49.78,51.06,47.89,49.06,42710616
2008-10-22 00:00:00-04:00,115.0,115.0,105.0,107.7,12955,47.0,47.0,42.41,43.81,58733181
2008-10-23 00:00:00-04:00,103.9,105.2,92.7,97.5,20149,44.52,46.81,42.31,46.28,86815676
2008-10-24 00:00:00-04:00,84.5,92.8,82.5,91.6,28258,41.27,45.52,41.2,44.4,53664585
2008-10-27 00:00:00-04:00,88.0,89.7,81.0,81.0,23894,43.2,45.48,41.0,41.46,45045270
2008-10-28 00:00:00-04:00,87.7,87.7,77.7,85.4,18428,43.47,46.73,41.06,46.42,61426034
2008-10-29 00:00:00-04:00,88.8,93.7,85.9,90.0,21919,47.5,50.46,47.09,47.7,62041957
2008-10-30 00:00:00-04:00,100.9,101.8,94.6,99.2,19083,49.39,50.62,47.36,50.44,51672169
2008-10-31 00:00:00-04:00,99.4,106.4,96.7,104.8,12079,49.48,52.63,48.88,50.95,46097524
2008-11-03 00:00:00-05:00,110.5,120.0,109.0,119.9,59100,50.6,51.24,48.9,49.72,29343013
2008-11-04 00:00:00-05:00,129.8,138.4,129.5,135.2,170106,50.91,53.3,50.91,53.22,33343172
2008-11-05 00:00:00-05:00,126.8,126.8,112.6,114.9,98194,51.65,53.3,50.44,50.57,41549649
2008-11-06 00:00:00-05:00,108.1,108.1,97.5,105.0,128429,50.15,50.61,47.0,47.55,49838734
2008-11-07 00:00:00-05:00,103.1,109.5,103.1,106.5,47804,48.23,49.93,47.82,49.78,32566990
2008-11-10 00:00:00-05:00,113.5,113.5,100.0,103.5,49937,51.34,51.91,49.03,50.07,40402864
2008-11-11 00:00:00-05:00,98.7,99.6,92.1,95.5,37771,48.69,49.56,47.5,48.34,34245931
2008-11-12 00:00:00-05:00,89.3,89.3,79.7,79.9,64854,47.38,47.54,44.49,44.65,38573212
2008-11-13 00:00:00-05:00,82.5,89.3,75.0,88.6,71298,45.35,50.0,43.01,49.97,62854202
2008-11-14 00:00:00-05:00,84.4,86.7,81.3,83.7,23294,48.52,50.5,46.88,47.7,54115915
2008-11-17 00:00:00-05:00,81.5,82.9,79.1,81.1,17584,47.29,48.96,46.68,46.75,43709018
2008-11-18 00:00:00-05:00,79.0,80.2,75.5,78.0,28125,47.21,48.5,45.92,48.23,49155218
2008-11-19 00:00:00-05:00,75.0,75.1,67.5,68.6,41512,47.97,48.88,45.43,45.6,48748693
2008-11-20 00:00:00-05:00,61.1,62.2,54.0,55.0,66131,44.35,44.68,39.82,39.9,64753338
2008-11-21 00:00:00-05:00,59.2,59.9,54.9,59.5,39599,41.28,44.94,40.52,44.72,73819040
2008-11-24 00:00:00-05:00,64.0,73.6,63.2,72.5,82464,45.6,49.07,44.82,47.5,55015707
2008-11-25 00:00:00-05:00,74.9,76.0,69.9,75.5,61248,48.03,48.85,46.8,48.39,45964219
2008-11-26 00:00:00-05:00,72.0,81.4,70.0,79.8,67592,47.8,51.45,47.45,51.14,38653958
2008-11-28 00:00:00-05:00,80.7,81.6,79.4,80.5,16823,50.46,50.6,49.18,50.33,15299767
2008-12-01 00:00:00-05:00,76.2,76.2,66.2,67.5,32347,48.25,48.25,44.88,44.93,35845253
2008-12-02 00:00:00-05:00,68.0,72.6,68.0,71.7,26327,46.05,46.61,44.73,46.48,35890111
2008-12-03 00:00:00-05:00,69.8,77.5,68.0,77.2,20657,45.21,46.63,44.59,46.52,47436933
2008-12-04 00:00:00-05:00,73.9,77.9,71.2,72.3,21644,45.69,46.27,42.4,43.22,48497603
2008-12-05 00:00:00-05:00,70.1,74.7,67.9,74.2,27258,42.36,44.21,40.53,44.21,51231955
2008-12-08 00:00:00-05:00,76.0,80.4,76.0,78.7,31776,45.92,47.18,45.52,46.43,48265460
2008-12-09 00:00:00-05:00,74.0,76.0,70.5,72.0,28884,45.82,47.87,45.77,46.56,42705793
2008-12-10 00:00:00-05:00,73.6,74.8,71.6,74.0,25213,47.47,49.38,47.42,49.0,40770821
2008-12-11 00:00:00-05:00,71.8,76.4,69.8,71.4,75194,49.39,50.79,48.18,48.75,40000660
2008-12-12 00:00:00-05:00,68.0,72.2,66.9,71.7,23138,47.0,48.73,46.56,48.21,39900571
